ICAO, latitude, longitude, altitude, yaw, pitch, roll, groundspeed, timestamp
11259137, 37.09541396, -6.73821139, 97.91450500, 2.80973625, -2.58336139, 2.57469153, 6.71073723, 230244
11259137, 37.09544547, -6.73826386, 95.44702148, 2.97305560, -2.75137019, 2.79225636, 5.77034473, 231244
11259137, 37.09547113, -6.73830743, 93.35266113, 2.98847818, -2.73390722, 2.76694512, 5.13437843, 232284
11259137, 37.09549277, -6.73834414, 91.41433716, 2.94464874, -2.68434858, 2.70218611, 5.22540045, 233256
11259137, 37.09551872, -6.73838695, 89.21007538, 2.90843010, -2.64753175, 2.66324639, 5.54282999, 234336
11259137, 37.09554432, -6.73842935, 87.16655731, 2.94803834, -2.69118881, 2.72063828, 5.46061230, 235324
11259137, 37.09557004, -6.73847245, 85.03446198, 2.95821595, -2.69786406, 2.73285174, 5.32097960, 236330
11259137, 37.09559453, -6.73851377, 83.02471924, 2.94826317, -2.68695831, 2.71483278, 5.23232746, 237338
11259137, 37.09561889, -6.73855477, 80.99082184, 2.94473505, -2.68535304, 2.71346664, 5.28073072, 238344
11259137, 37.09564355, -6.73859609, 78.89933014, 2.91791725, -2.64990020, 2.68026805, 5.38191557, 239366
11259137, 37.09566896, -6.73863887, 76.80805969, 2.94568610, -2.68226957, 2.72008181, 5.25774193, 240380
11259137, 37.09569374, -6.73868087, 74.77087402, 2.95175934, -2.69005752, 2.72535372, 5.16668892, 241386
11259137, 37.09571688, -6.73871992, 72.75935364, 2.92139077, -2.64240527, 2.68111968, 5.21263838, 242362
11259137, 37.09574075, -6.73876060, 70.76383972, 2.92925668, -2.67694330, 2.70391011, 5.32914495, 243360
11259137, 37.09576756, -6.73880609, 68.58141327, 2.93653011, -2.67865348, 2.71189785, 5.30529261, 244412
11259137, 37.09579294, -6.73884874, 66.52835846, 2.95890021, -2.69561243, 2.73340750, 5.09324932, 245418
11259137, 37.09581684, -6.73888902, 64.48672485, 2.94791961, -2.68840861, 2.72493815, 5.16537619, 246400
11259137, 37.09584163, -6.73893087, 62.44179153, 2.95679975, -2.69584656, 2.73246121, 5.06312990, 247408
11259137, 37.09586633, -6.73897230, 60.57630539, 3.05529332, -3.01075101, 3.01607513, 4.54252958, 248412
11259137, 37.09589430, -6.73899165, 62.00086975, -3.04313493, 2.88197517, 2.56570148, 4.75252008, 249454
11259137, 37.09593176, -6.73898000, 64.09851837, -2.95950174, 2.83746481, 2.66658831, 5.02335691, 250448
11259137, 37.09596921, -6.73895753, 66.64887238, -2.95378590, 2.87984538, 2.60071993, 5.55354166, 251454
11259137, 37.09601157, -6.73893529, 69.40955353, -2.97673273, 2.92997980, 2.57450676, 5.91268253, 252470
11259137, 37.09605353, -6.73891811, 71.89276886, -3.04710078, 2.98302341, 2.67743301, 5.18574667, 253486
11259137, 37.09609257, -6.73890339, 74.43276978, -3.04550004, 2.96420574, 2.66462398, 5.01421404, 254520
11259137, 37.09612856, -6.73888917, 76.88014984, -3.02958488, 2.94471312, 2.62962580, 5.23332644, 255496
11259137, 37.09616842, -6.73887318, 79.44815826, -3.04120660, 2.96546173, 2.66335702, 5.20762682, 256550
11259137, 37.09620462, -6.73885906, 81.80382538, -3.03781414, 2.95620799, 2.63935566, 5.21953201, 257520
11259137, 37.09624565, -6.73884337, 84.44052124, -3.04587269, 2.96670103, 2.66303253, 5.23704767, 258576
11259137, 37.09628414, -6.73882863, 86.89567566, -3.05365109, 2.97253060, 2.66817260, 5.06645012, 259590
11259137, 37.09632014, -6.73881500, 89.34725189, -3.04783511, 2.96838164, 2.65045238, 5.16565084, 260562
11259137, 37.09635749, -6.73880119, 91.79589844, -3.04454064, 2.96090889, 2.64764929, 5.21210146, 261572
11259137, 37.09639595, -6.73878680, 94.25515747, -3.04621625, 2.96304035, 2.65488887, 5.17589903, 262586
11259137, 37.09643328, -6.73877280, 96.67959595, -3.04130268, 2.95537591, 2.63449240, 5.20209885, 263560
11259137, 37.09647228, -6.73875808, 99.15274811, -3.05007529, 2.96565104, 2.66474819, 5.06490850, 264542
11259137, 37.09651043, -6.73874351, 101.62262726, -3.05213809, 2.96833825, 2.66714478, 4.96938658, 265557
11259137, 37.09654800, -6.73872922, 104.06175232, -3.05409312, 2.97226572, 2.66586876, 4.93891096, 266566
11259137, 37.09658574, -6.73871509, 106.52334595, -3.05441737, 2.97132540, 2.66671681, 4.92353058, 267581
11259137, 37.09662388, -6.73870090, 109.04024506, -3.05064869, 2.96804309, 2.65684867, 5.03247404, 268591
11259137, 37.09666230, -6.73868664, 111.49574280, -3.05482674, 2.97124743, 2.67081404, 4.93227053, 269604
11259137, 37.09670004, -6.73867244, 114.04040527, -3.05165195, 2.96925473, 2.65353966, 4.94797421, 270649
11259137, 37.09673893, -6.73865800, 116.58460999, -3.05060601, 2.97023964, 2.65376186, 4.99561310, 271693
11259137, 37.09677734, -6.73864391, 119.01186371, -3.04903746, 2.96633744, 2.64064097, 4.87617254, 272704
11259137, 37.09681173, -6.73863126, 117.48148346, -0.02522299, 0.14867756, 0.37854189, 6.09979534, 273683
11259137, 37.09681935, -6.73862622, 112.66945648, 0.03053785, -0.08719543, 0.26922807, 4.59664965, 274726
11259137, 37.09680994, -6.73862926, 107.55068970, 0.02583372, -0.08147724, 0.20152640, 5.36486292, 275738
11259137, 37.09680028, -6.73863349, 102.15659332, 0.00495577, -0.03193249, 0.05426950, 5.32542944, 276747
11259137, 37.09679596, -6.73863585, 96.90764618, 0.00020374, -0.00992218, 0.00931098, 5.04863310, 277760
11259137, 37.09679469, -6.73863668, 91.86276245, 0.00020597, -0.00974452, 0.01433197, 4.99110460, 278803
11259137, 37.09679379, -6.73863720, 86.70037842, 0.00005372, -0.00813656, 0.01718189, 5.05937481, 279779
11259137, 37.09679305, -6.73863755, 81.52850342, 0.00024225, -0.00788669, 0.01993744, 5.04968309, 280823
11259137, 37.09679227, -6.73863779, 76.52474976, 0.00023501, -0.00542734, 0.01953257, 5.08828354, 281832
11259137, 37.09679139, -6.73863790, 71.34700012, 0.00007175, -0.00447436, 0.01180030, 5.06654596, 282872
11259137, 37.09679081, -6.73863800, 66.44897461, 0.00017083, -0.00368606, 0.01109681, 5.11739922, 283847
11259137, 37.09679032, -6.73863805, 61.31389999, 0.00027132, -0.00342962, 0.00952415, 5.05113316, 284861
11259137, 37.09678987, -6.73863809, 56.16516876, -0.00005308, -0.00262496, 0.00746959, 5.02229977, 285903
11259137, 37.09678951, -6.73863808, 51.18056488, -0.00001224, 0.00016554, 0.00626575, 5.07986832, 286911
11259137, 37.09678921, -6.73863800, 45.98744965, 0.00024149, 0.00100760, 0.00537940, 5.04036474, 287922
11259137, 37.09678890, -6.73863786, 41.00830460, -0.00000963, -0.00175761, 0.00640113, 5.02359629, 288927
11259137, 37.09678863, -6.73863771, 35.98815536, 0.00053184, -0.00420882, 0.00642409, 5.09420633, 289940
