ICAO, latitude, longitude, altitude, yaw, pitch, roll, groundspeed, timestamp
11259137, 37.09515184, -6.73781725, 117.75498199, 3.02440023, -2.93241358, 2.62704277, 3.25487113, 244036
11259137, 37.09518447, -6.73783991, 116.27539825, 2.93550014, -2.69141865, 2.63185596, 4.16825294, 245068
11259137, 37.09521782, -6.73787630, 114.25088501, 2.89808035, -2.52913308, 2.73208547, 5.17514563, 246078
11259137, 37.09524471, -6.73792662, 111.96245575, 2.85803843, -2.59968233, 2.65008473, 5.70848322, 247064
11259137, 37.09527502, -6.73798008, 109.41455841, 2.82900381, -2.60226202, 2.59390593, 5.92622614, 248076
11259137, 37.09530711, -6.73803229, 106.79788208, 2.82009840, -2.57801199, 2.59281707, 6.19052267, 249068
11259137, 37.09534000, -6.73808740, 104.11038971, 2.92471910, -2.71412206, 2.75210881, 6.05240631, 250092
11259137, 37.09536727, -6.73813464, 102.01631927, 2.98607326, -2.72114825, 2.78073716, 5.07720423, 251132
11259137, 37.09539070, -6.73817535, 99.99990845, 2.97736907, -2.71802878, 2.75669193, 5.03810263, 252126
11259137, 37.09541587, -6.73821734, 97.84915161, 2.96579266, -2.70052171, 2.73189020, 5.08950090, 253152
11259137, 37.09544061, -6.73825829, 95.73074341, 2.96534824, -2.70220256, 2.73598671, 5.16937971, 254158
11259137, 37.09546483, -6.73829841, 93.70121002, 2.95343733, -2.69152284, 2.72232676, 5.23924208, 255166
11259137, 37.09548865, -6.73833811, 91.64516449, 2.93613744, -2.67019773, 2.70101142, 5.30534077, 256172
11259137, 37.09551217, -6.73837810, 89.66811371, 2.88731813, -2.63709188, 2.63346124, 5.50879049, 257154
11259137, 37.09553777, -6.73842093, 87.61418152, 2.88723803, -2.63370037, 2.64050913, 5.59845066, 258180
11259137, 37.09556365, -6.73846356, 85.54429626, 2.92200065, -2.66260815, 2.68752694, 5.43580008, 259174
11259137, 37.09558814, -6.73850471, 83.52826691, 2.95172143, -2.70284390, 2.73311710, 5.29148626, 260152
11259137, 37.09561247, -6.73854602, 81.52152252, 2.93306398, -2.67242599, 2.69654489, 5.27155781, 261154
11259137, 37.09563843, -6.73858927, 79.38940430, 2.95206857, -2.70029235, 2.73320317, 5.28105021, 262184
11259137, 37.09566380, -6.73863176, 77.32485962, 2.94848204, -2.68564391, 2.71341491, 5.15076494, 263204
11259137, 37.09568796, -6.73867226, 75.31362915, 2.96456099, -2.71030569, 2.74505472, 5.14675140, 264182
11259137, 37.09571194, -6.73871268, 73.23957062, 2.94664955, -2.68229270, 2.71148229, 5.12793684, 265200
11259137, 37.09573653, -6.73875420, 71.15234375, 2.94058418, -2.69038582, 2.71969080, 5.33831739, 266228
11259137, 37.09576299, -6.73879851, 68.99252319, 2.93369436, -2.66773081, 2.70114207, 5.30671120, 267282
11259137, 37.09578774, -6.73883995, 66.94689941, 2.94007540, -2.67539406, 2.70875716, 5.25844765, 268270
11259137, 37.09581377, -6.73888347, 64.80342865, 2.96383071, -2.70832038, 2.74620533, 5.17254496, 269314
11259137, 37.09583736, -6.73892317, 62.82490540, 2.94330454, -2.67709017, 2.70823288, 5.11855268, 270294
11259137, 37.09586201, -6.73896500, 60.74123383, 2.97294259, -2.74011350, 2.76205754, 5.09924555, 271318
11259137, 37.09588634, -6.73899074, 61.53907013, -3.09330130, 2.96134138, 2.52373981, 4.79674578, 272332
11259137, 37.09592598, -6.73898478, 63.76586533, -2.95684052, 2.81324983, 2.67631888, 4.87834740, 273336
11259137, 37.09596515, -6.73896249, 66.27330017, -2.95068693, 2.84806776, 2.63413477, 5.29912472, 274342
11259137, 37.09600771, -6.73893830, 69.01979828, -2.98896503, 2.93735170, 2.61978769, 5.40645027, 275362
11259137, 37.09604924, -6.73892041, 71.54623413, -3.04852366, 2.97959423, 2.68763375, 4.86841488, 276378
11259137, 37.09608602, -6.73890625, 73.98271942, -3.04209232, 2.95196676, 2.65540981, 4.83423948, 277362
11259137, 37.09612527, -6.73889074, 76.53990936, -3.04597282, 2.96318340, 2.67765236, 4.88153696, 278404
11259137, 37.09616131, -6.73887651, 78.89642334, -3.04940414, 2.96536541, 2.67593884, 4.93557215, 279384
11259137, 37.09619823, -6.73886211, 81.45753479, -3.03694701, 2.95520735, 2.64527035, 5.14082718, 280408
11259137, 37.09623700, -6.73884747, 83.95225525, -3.03372812, 2.94558382, 2.62869716, 5.23100328, 281426
11259137, 37.09627793, -6.73883191, 86.53453064, -3.04330444, 2.95596290, 2.66763210, 5.10128641, 282472
11259137, 37.09631748, -6.73881675, 89.05751038, -3.04846621, 2.96126986, 2.67353868, 4.97877932, 283512
11259137, 37.09635499, -6.73880244, 91.54427338, -3.04244876, 2.95152116, 2.64219165, 5.01342058, 284518
11259137, 37.09639332, -6.73878791, 94.01810455, -3.04788852, 2.96094608, 2.67306805, 5.09512329, 285524
11259137, 37.09643252, -6.73877304, 96.59757996, -3.04692698, 2.95822334, 2.66343546, 5.00398684, 286562
11259137, 37.09647032, -6.73875869, 99.03678894, -3.04974556, 2.96130538, 2.67193532, 4.98807335, 287570
11259137, 37.09650910, -6.73874403, 101.56505585, -3.04914594, 2.95982695, 2.66963887, 4.97559261, 288612
11259137, 37.09654440, -6.73873056, 103.98626709, -3.04128480, 2.95527220, 2.63158536, 5.10430861, 289594
